"Tamanho do bloco";"Taxa de Acerto";"Tempo medio de acesso";"Leituras na Memoria Principal";"Escritas na Memoria Principal"
"8";"84.8340";"15.6162";"1621";"6144"
"16";"84.8340";"15.6162";"1621";"6144"
"32";"81.8398";"17.7121";"3154";"6144"
"64";"80.9043";"18.3670";"3633";"6144"
"128";"78.9395";"19.7424";"4639";"6144"
"256";"74.9668";"22.5232";"6673";"6144"
"512";"67.9902";"27.4068";"10245";"6144"
"1024";"64.0000";"30.2000";"12288";"6144"
"2048";"64.0000";"30.2000";"12288";"6144"
"4096";"56.0000";"35.8000";"16384";"6144"
