"Politica";"Numero de blocos";"Tamanho Cache (Bytes)";"Taxa de Acerto"
"LRU";"16";"2048";"46.9980"
"Aleatoria";"16";"2048";"48.4219"
"LRU";"32";"4096";"58.9785"
"Aleatoria";"32";"4096";"66.8867"
"LRU";"64";"8192";"81.9336"
"Aleatoria";"64";"8192";"84.2793"
"LRU";"128";"16384";"87.9219"
"Aleatoria";"128";"16384";"87.9219"
"LRU";"256";"32768";"87.9219"
"Aleatoria";"256";"32768";"87.9219"
"LRU";"512";"65536";"87.9219"
"Aleatoria";"512";"65536";"87.9219"
"LRU";"1024";"131072";"87.9219"
"Aleatoria";"1024";"131072";"87.9219"
"LRU";"2048";"262144";"87.9219"
"Aleatoria";"2048";"262144";"87.9219"
