"Politica";"Cache (Bytes)";"Bloco (Bytes)";"Associatividade";"Leituras MP";"Escritas MP";"Total Trafego"
"Write-Through";"8192";"64";"2";"3633";"6144";"9777"
"Write-Back";"8192";"64";"2";"5170";"1026";"6196"
"Write-Through";"8192";"64";"4";"2611";"6144";"8755"
"Write-Back";"8192";"64";"4";"3126";"515";"3641"
"Write-Through";"8192";"128";"2";"4639";"6144";"10783"
"Write-Back";"8192";"128";"2";"6176";"1026";"7202"
"Write-Through";"8192";"128";"4";"3106";"6144";"9250"
"Write-Back";"8192";"128";"4";"3621";"515";"4136"
"Write-Through";"16384";"64";"2";"56";"6144";"6200"
"Write-Back";"16384";"64";"2";"2615";"1026";"3641"
"Write-Through";"16384";"64";"4";"56";"6144";"6200"
"Write-Back";"16384";"64";"4";"2615";"515";"3130"
"Write-Through";"16384";"128";"2";"1062";"6144";"7206"
"Write-Back";"16384";"128";"2";"3621";"1026";"4647"
"Write-Through";"16384";"128";"4";"40";"6144";"6184"
"Write-Back";"16384";"128";"4";"2599";"515";"3114"
